canonical_task_id,trial_name,job_id,job_name,job_created_at,job_status,job_imported,harness,model,environment,harbor_runtime,dataset,dataset_version,trial_status,reward,resolved,duration_seconds,agent_exec_seconds,cost_usd,n_input_tokens,n_cache_tokens,n_output_tokens,n_total_tokens,output_tok_s,error_class,error
astropy__astropy-12907,astropy__astropy-12907__7v4xZfW,63ca9a349e63,swebench-verified · claude-code · glm-5.2,2026-07-03T20:26:56+00:00,complete,False,claude-code,subconscious/glm-5.2,daytona,python,swebench-verified,1.0,errored,0,False,277.3,182.8,0,0,0,0,0,0,unknown,NonZeroAgentExitCodeError
astropy__astropy-12907,astropy__astropy-12907__a2ffecR,342213796bd4,swebench-verified · mini-swe-agent · glm-5.2,2026-07-04T11:26:38+00:00,complete,False,mini-swe-agent,subconscious/glm-5.2,daytona,python,swebench-verified,1.0,errored,0,False,344.1,273.5,0,0,0,0,0,0,unknown,NonZeroAgentExitCodeError
astropy__astropy-12907,astropy__astropy-12907__QAmXc7Y,7fc579ec20e6,codex smoke swebench-verified e2b,2026-07-09T14:34:28+00:00,complete,False,codex,openai/subconscious/tim-qwen3.6-27b,e2b,python,swe-bench/swe-bench-verified,,errored,,,40.3,,,,,,,,unknown,NonZeroAgentExitCodeError
astropy__astropy-12907,astropy__astropy-12907__pnNs3Qg,5b5482125597,codex smoke swebench-verified e2b uv-relay,2026-07-09T14:39:12+00:00,complete,False,codex,openai/subconscious/tim-qwen3.6-27b,e2b,python,swe-bench/swe-bench-verified,,completed,1,True,158.1,49.6,,67200,55407,2197,69397,44.3,,
astropy__astropy-12907,astropy__astropy-12907__dNtGZaH,ec5453c46a32,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T03:03:57+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,errored,,,3.3,,,,,,,,endpoint_error,RateLimitException
astropy__astropy-12907,astropy__astropy-12907__LTpyPuN,2133dc6a96e6,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T03:25:28+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,cancelled,,,412.5,235.4,0.0559,248096,235712,5595,253691,23.8,,CancelledError
astropy__astropy-12907,astropy__astropy-12907__LfAervR,2d7c8a6540ff,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T04:04:56+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,347.4,244.7,0.0437,173253,161600,5324,178577,21.8,,
astropy__astropy-12907,astropy__astropy-12907__4iaNfjP,f635b0579980,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T14:22:06+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,cancelled,,,313.5,232.8,0.0457,195039,183936,4910,199949,21.1,,CancelledError
astropy__astropy-12907,astropy__astropy-12907__3rXBzAT,246a9156a882,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T15:02:47+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,397.6,305.1,0.045,162248,150528,6287,168535,20.6,,
astropy__astropy-12907,astropy__astropy-12907__BgxjA3n,1557c781b448,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T15:41:06+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,359.1,262.9,0.0451,172862,161088,5815,178677,22.1,,
astropy__astropy-12907,astropy__astropy-12907__n9NEboj,0e935739a934,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T16:07:45+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,373.7,273.4,0.0376,149708,138688,4512,154220,16.5,,
astropy__astropy-12907,astropy__astropy-12907__UkJ6pxB,4f6a7b648506,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T16:40:53+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,411.3,320.8,0.0434,162084,150016,5749,167833,17.9,,
astropy__astropy-12907,astropy__astropy-12907__Kh8mfwr,d9a7b0c70b3b,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-30T17:23:03+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,cancelled,,,382.9,368.7,,,,,,,,CancelledError
astropy__astropy-12907,astropy__astropy-12907__Ke53bwg,db8d33490582,swebench-verified · mini-swe-agent · glm-gcp1,2026-07-31T23:07:59+00:00,cancelled,False,mini-swe-agent,glm-gcp1,e2b,python,swebench-verified,1.0,completed,1,True,380.3,291.4,0.0749,376227,362560,5487,381714,18.8,,
astropy__astropy-12907,astropy__astropy-12907__XARgYSE,1d4355e54894,swebench-verified · claude-code · subconscious/glm-5.2 · Aug 23 16:22,2026-08-23T16:22:52Z,complete,False,claude-code,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,completed,1,True,185.7,56,1.3746,407762,156672,1631,409393,29.1,,
astropy__astropy-12907,astropy__astropy-12907__gq9673A,d2cf5ec25625,swebench-verified · mini-swe-agent · subconscious/glm-5.2 · Aug 23 16:22,2026-08-23T16:22:56Z,complete,False,mini-swe-agent,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,completed,1,True,230.1,141.1,0.0772,359573,345280,7050,366623,50,,
astropy__astropy-12907,astropy__astropy-12907__NeuFFGY,b1a03feecef5,swebench-verified · codex · subconscious/glm-5.2 · Aug 23 16:23,2026-08-23T16:23:01Z,complete,False,codex,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,completed,1,True,212.1,96.4,,167066,158208,2859,169925,29.7,,
