job_id,job_name,created_at,started_at,finished_at,status,imported,harness,model,environment,harbor_runtime,dataset,dataset_version,n_trials,n_completed,n_resolved,resolution_rate,n_errored,n_cancelled,total_cost_usd,n_input_tokens,n_output_tokens,total_duration_seconds
187f0c30fc5f,swebench-verified · subconscious-code · subconscious/glm-5.2 · Aug 25 18:38,2026-08-25T18:38:49Z,2026-08-25T18:38:49+00:00,2026-08-26T06:39:29Z,failed,False,subconscious-code,subconscious/glm-5.2,e2b,go,swebench-verified,1.0,313,311,202,0.6454,2,0,,107428924,2916332,43216.7
472ee1f9d42c,swebench-verified · subconscious-code · subconscious/glm-5.2 · Aug 25 12:05,2026-08-25T12:05:17Z,2026-08-25T12:05:19+00:00,2026-08-25T15:21:00Z,complete,False,subconscious-code,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,500,499,334,0.668,1,0,,172196043,4529160,93125.6
7685d364d232,swebench-verified · mini-swe-agent · tim-qwen3.6-27b,2026-08-24T16:57:27.667837655Z,,2026-08-24T20:39:25.979445196Z,complete,False,mini-swe-agent,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,86,56,49,0.5698,30,0,5.8756,27016018,564069,53271.1
9ed51bdf1a6b,swebench-verified · claude-code · openai/subconscious/tim-qwen3.6-27b · Aug 24 16:57,2026-08-24T16:57:19Z,2026-08-24T16:57:20+00:00,2026-08-24T20:39:31Z,cancelled,False,claude-code,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,92,18,18,0.1957,74,0,223.4788,264435034,2136164,53303.5
af13177a2de2,swebench-verified · subconscious-code · tim-qwen3.6-27b,2026-08-24T16:34:18.290312292Z,,2026-08-24T20:39:27.473771959Z,complete,False,subconscious-code,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,53,49,30,0.566,4,0,,24042811,1289726,58834.3
9e34426d85cd,swebench-verified · opencode · openai/subconscious/tim-qwen3.6-27b · Aug 24 16:34,2026-08-24T16:34:05Z,2026-08-24T16:34:05+00:00,2026-08-24T20:39:40Z,cancelled,False,opencode,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,39,30,30,0.7692,9,0,,59690233,783724,58883.8
d803d9eeb57d,swebench-verified · codex · tim-qwen3.6-27b,2026-08-24T16:33:58.54373312Z,,2026-08-24T20:39:13.686828643Z,complete,False,codex,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,124,117,36,0.2903,7,0,,31268387,1062933,58857.2
71980b922dc1,swebench-verified · mini-swe-agent · openai/subconscious/tim-qwen3.6-27b · Aug 24 16:33,2026-08-24T16:33:42Z,2026-08-24T16:33:42+00:00,2026-08-24T16:39:07Z,complete,False,mini-swe-agent,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,2,2,1,0.5,0,0,0.053,209219,6584,532.1
0a23046b9d78,swebench-verified · claude-code · openai/subconscious/tim-qwen3.6-27b · Aug 24 16:33,2026-08-24T16:33:25Z,2026-08-24T16:33:26+00:00,2026-08-24T16:44:32Z,complete,False,claude-code,openai/subconscious/tim-qwen3.6-27b,e2b,python,swebench-verified,1.0,2,2,1,0.5,0,0,3.8202,9084305,78019,1148.6
db5f693e7abe,swebench-verified · opencode · subconscious/glm-5.2 · Aug 24 16:33,2026-08-24T16:33:07Z,2026-08-24T16:33:07+00:00,2026-08-24T16:45:21Z,complete,False,opencode,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,2,2,1,0.5,0,0,,892926,14341,1088.1
a68304ea3a4a,swebench-verified · codex · subconscious/glm-5.2 · Aug 24 11:37,2026-08-24T11:37:23Z,2026-08-24T11:37:23+00:00,2026-08-24T20:39:25Z,cancelled,False,codex,subconscious/glm-5.2,e2b,python,swebench-verified,1.0,291,284,219,0.7526,7,0,,241481060,3012476,130038.3
