job_id,created_at,status,imported,name,harness,model,environment,runtime,n_trials,n_completed,n_resolved,resolution_rate,n_errored,n_cancelled,total_cost_usd,n_input_tokens,n_output_tokens,total_duration_seconds
c2365ca697c8,2026-08-27T02:37:38Z,cancelled,False,swebenchpro · subconscious-code · openai/subconscious/glm-5.2 · Aug 27 02:37,subconscious-code,subconscious/glm-5.2,e2b,go,28,10,5,0.1786,10,8,,7127767,168975,5142.9
e7e9304cdc24,2026-08-04T14:49:45+00:00,complete,False,swebenchpro · mini-swe-agent · gw-glm-5.2,mini-swe-agent,gw-glm-5.2,e2b,python,4,4,0,0,0,0,0.8641,4797166,41419,1196.5
04bd32ce2227,2026-08-03T20:52:23+00:00,complete,False,swebenchpro · mini-swe-agent · gw-glm-5.2,mini-swe-agent,gw-glm-5.2,e2b,python,4,4,0,0,0,0,0.8225,4528690,40280,801.9
c7c9c0c7fbc8,2026-07-14T20:12:14+00:00,cancelled,False,swebenchpro · claude-code · glm-5.2-nvfp4,claude-code,/mnt/glm-5.2-nvfp4,e2b,python,52,42,26,0.5,2,8,104.7472,111863517,1040165,22325.6
2f892e769696,2026-07-14T15:24:47+00:00,failed,False,swebenchpro · claude-code · glm-5.2-nvfp4,claude-code,/mnt/glm-5.2-nvfp4,e2b,python,161,143,79,0.4907,18,0,398.7876,451556587,4382754,93216.5
60b4b2de5be8,2026-07-11T00:28:53+00:00,cancelled,False,swebenchpro-claude-code-glm-5.2-left-from-d56aee28d8c7-no-task-tools-c8,claude-code,subconscious/glm-5.2,daytona,python,70,63,40,0.5714,5,2,164.0897,183485316,1867111,76065.6
eed41370c828,2026-07-03T08:19:48.592486Z,complete,True,swebenchpro claude-code glm-5.2 aggregate,claude-code,subconscious/glm-5.2,daytona,python,731,709,571,0.7811,18,4,1791.095,1866069028,17907139,602100.9
d56aee28d8c7,2026-07-10T22:12:41+00:00,cancelled,False,swebenchpro-claude-code-glm-5.2-left-from-25b3305f157b-no-task-tools-serial,claude-code,subconscious/glm-5.2,daytona,python,7,4,4,0.5714,3,0,11.3489,20117580,202976,8098.7
071205e82b64,2026-07-10T22:09:22+00:00,cancelled,False,swebenchpro-claude-code-glm-5.2-errors-from-25b3305f157b-no-task-tools-serial,claude-code,subconscious/glm-5.2,daytona,python,2,0,0,0,1,1,,172294,1240,95.8
25b3305f157b,2026-07-10T16:59:56+00:00,cancelled,False,swebenchpro claude-code glm-5.2 errored/unrun rerun (rerun),claude-code,subconscious/glm-5.2,daytona,python,35,24,22,0.6286,9,0,59.8239,74399985,667673,30432.6
1e522580d76f,2026-07-10T17:45:36+00:00,complete,False,swebenchpro claude-code glm-5.2 errored from 508 serial,claude-code,subconscious/glm-5.2,daytona,python,4,2,2,0.5,2,0,8.6035,8702687,77489,4646.9
50857c70efe6,2026-07-10T17:00:37+00:00,complete,False,swebenchpro claude-code glm-5.2 errored no task tools (rerun),claude-code,subconscious/glm-5.2,daytona,python,5,1,2,0.4,4,0,3.5153,6556381,49723,4005.7
c6d0e00018f0,2026-07-10T17:02:41+00:00,cancelled,False,swebenchpro · codex · glm-5.2,codex,subconscious/glm-5.2,e2b,python,2,0,0,0,0,2,,8926241,119694,3909.4
701591327d1b,2026-07-10T13:33:14+00:00,failed,False,swebenchpro claude-code glm-5.2 errored/unrun rerun,claude-code,subconscious/glm-5.2,daytona,python,15,10,8,0.5333,5,0,21.8102,28324160,307088,16191.4
097881751dd4,2026-07-10T15:42:58+00:00,failed,False,swebenchpro claude-code glm-5.2 errored no task tools,claude-code,subconscious/glm-5.2,daytona,python,1,0,0,0,1,0,,,,427.2
6bad56b2f2b0,2026-07-10T14:12:12+00:00,complete,False,swebenchpro claude-code glm-5.2 errored from 701591327d1b,claude-code,subconscious/glm-5.2,daytona,python,4,2,2,0.5,2,0,6.8033,8171752,86056,6046.6
f2c156087eac,2026-07-10T14:23:21+00:00,complete,False,dashboard swebenchpro pi smoke,pi,subconscious/tim-qwen3.6-27b,daytona,python,1,1,0,0,0,0,,2905691,31031,1848.4
c3a76a0e54c9,2026-07-10T14:23:21+00:00,complete,False,dashboard swebenchpro opencode smoke,opencode,subconscious/tim-qwen3.6-27b,daytona,python,1,1,0,0,0,0,,2872271,21272,1236.5
8cda9ccae962,2026-07-10T14:33:48+00:00,complete,False,swebenchpro · codex · glm-5.2,codex,subconscious/glm-5.2,e2b,python,4,0,0,0,4,0,,,,161.9
