task_name,task_checksum,harnesses_tried,attempts,graded_attempts,successful_attempts,best_accuracy_rate,accuracy_winner_harnesses,accuracy_winner_samples,solved_by_harnesses,lowest_success_tokens,token_winner_harness,token_winner_variant,token_winner_job,lowest_success_cost_usd,cost_winner_harness,cost_winner_variant,cost_winner_job,fastest_success_seconds,time_winner_harness,time_winner_variant,time_winner_job
cais/instance_flipt-io__flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8,f5f935547a7d42a46cc71fbf6f0c063aeeb231dca63a15df0d99e9d333bce43a,codex,1,1,0,0.0,,,,,,,,,,,,,,,
cais/instance_future-architect__vuls-edb324c3d9ec3b107bf947f00e38af99d05b3e16,1d3357e2600ecf8ded0a2462a291b836e907dfa18985aee5ecb1bedecf00ff96,codex,2,1,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,7dc7d9de0d8b1f950828387ce2d84263730c8c6bc2fb36de37fa1c524ef1cab6,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,4,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 2/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,291408,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.0656,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,206.1,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,6444ae5b658936117aaa5d33fec5ee52e16a8cccdf5cbe04b9b1d22a854f8bb5,claude-code; mini-swe-agent; mini-swe-agent-pypi,5,5,2,1.0,claude-code; mini-swe-agent,claude-code 1/2; mini-swe-agent 1/2,claude-code; mini-swe-agent,981653,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,60b4b2de5be8,0.2407,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,334,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,60b4b2de5be8
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,85165beb6f5e9f3bce5e5ae02f123529c74d9245faeffa76da4460d28c1f30a4,claude-code; mini-swe-agent; mini-swe-agent-pypi,7,7,3,1.0,claude-code; mini-swe-agent-pypi,claude-code 2/4; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent-pypi,1010248,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6,0.3803,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447,158.3,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d-v0f01c69f1e2528b935359cfe578530722bca2c59,85e8e249259811533896d208e8bd15b90fe42ea9582051cfab02f3407d2226af,claude-code; codex; mini-swe-agent; mini-swe-agent-pypi; pi,14,14,4,1.0,claude-code,claude-code 4/9,claude-code,561313,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb,0.5288,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb,142.7,claude-code,claude-code | glm-5.2 | e2b | python,18e979aa01bb
instance_ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d-v0f01c69f1e2528b935359cfe578530722bca2c59,59d8c7a8a41f640db31a91c9e0b3263eb8637957d9a1646ab5b92089afcd3235,subconscious-code,1,1,0,0.0,,,,,,,,,,,,,,,
instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,ee27c55405a3bdbe73c75cca3c35aa441852460e443a4b184281767b37b47bfc,claude-code; mini-swe-agent; mini-swe-agent-pypi,6,6,4,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 2/3; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,667864,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.1272,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,121.9,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a,7c3d48d69ec1be1210e096d77bb5a7a193881b3fec3389b669c784ada9757451,claude-code; mini-swe-agent; mini-swe-agent-pypi; pi,12,12,7,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 5/8; mini-swe-agent 1/2; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,502560,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,0.0997,mini-swe-agent,mini-swe-agent | subconscious/tim-qwen3.6-27b | e2b | python,2f58c5373fa6,210.3,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,a79a271e31b6
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,eec3f32a49b2ca74c374f29b97ec287cfffb13accabb8b2ce43d4dffd3f85ee6,claude-code; mini-swe-agent; mini-swe-agent-pypi,4,4,3,1.0,claude-code; mini-swe-agent; mini-swe-agent-pypi,claude-code 1/2; mini-swe-agent 1/1; mini-swe-agent-pypi 1/1,claude-code; mini-swe-agent; mini-swe-agent-pypi,306707,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,a0967f91009f,0.0431,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,a0967f91009f,385,mini-swe-agent-pypi,mini-swe-agent-pypi | nex-agi/Nex-N2-Pro | local | python,91d939412447
